n,a [Pa],b,ph [hPa],pf [hPa],Geopotential Altitude [m],Geometric Altitude [m],Temperature [K],Density [kg/m^3]
0,0.000000,0.000000,0.000000,-,-,-,-,-
1,2.000040,0.000000,0.0200,0.0100,79302.74,80302.61,198.04,0.000018
2,3.980832,0.000000,0.0398,0.0299,72744.48,73584.94,211.16,0.000049
3,7.387186,0.000000,0.0739,0.0568,68689.83,69438.73,221.12,0.000090
4,12.908319,0.000000,0.1291,0.1015,64847.81,65514.87,231.88,0.000152
5,21.413612,0.000000,0.2141,0.1716,61203.87,61797.72,242.08,0.000247
6,33.952858,0.000000,0.3395,0.2768,57748.06,58276.46,251.76,0.000383
7,51.746601,0.000000,0.5175,0.4285,54470.24,54940.11,260.93,0.000572
8,76.167656,0.000000,0.7617,0.6396,51360.33,51777.87,269.64,0.000826
9,108.715561,0.000000,1.0872,0.9244,48442.75,48814.03,270.65,0.001190
10,150.986023,0.000000,1.5099,1.2985,45759.10,46090.25,267.18,0.001693
11,204.637451,0.000000,2.0464,1.7781,43332.12,43628.96,260.38,0.002379
12,271.356506,0.000000,2.7136,2.3800,41136.44,41403.86,254.23,0.003261
13,352.824493,0.000000,3.5282,3.1209,39141.66,39383.70,248.65,0.004372
14,450.685791,0.000000,4.5069,4.0176,37322.40,37542.40,243.55,0.005746
15,566.519226,0.000000,5.6652,5.0860,35657.28,35858.04,238.89,0.007417
16,701.813354,0.000000,7.0181,6.3417,34128.22,34312.09,234.61,0.009416
17,857.945801,0.000000,8.5795,7.7988,32719.80,32888.77,230.67,0.011778
18,1036.166504,0.000000,10.3617,9.4706,31417.81,31573.56,228.07,0.014466
19,1237.585449,0.000000,12.3759,11.3688,30201.49,30345.38,226.85,0.017458
20,1463.163940,0.000000,14.6316,13.5037,29061.56,29194.77,225.71,0.020842
21,1713.709595,0.000000,17.1371,15.8844,27991.33,28114.89,224.64,0.024633
22,1989.874390,0.000000,19.8987,18.5179,26984.85,27099.67,223.63,0.028846
23,2292.155518,0.000000,22.9216,21.4101,26036.84,26143.71,222.69,0.033493
24,2620.898438,0.000000,26.2090,24.5653,25142.55,25242.19,221.79,0.038584
25,2976.302246,0.000000,29.7630,27.9860,24297.75,24390.80,220.95,0.044125
26,3358.425781,0.000000,33.5843,31.6736,23498.64,23585.66,220.15,0.050120
27,3767.196045,0.000000,37.6720,35.6281,22741.78,22823.27,219.39,0.056572
28,4202.416504,0.000000,42.0242,39.8481,22024.08,22100.50,218.67,0.063480
29,4663.776367,0.000000,46.6378,44.3310,21342.73,21414.49,217.99,0.070843
30,5150.859863,0.000000,51.5086,49.0732,20695.19,20762.65,217.35,0.078655
31,5663.156250,0.000000,56.6316,54.0701,20079.13,20142.64,216.73,0.086910
32,6199.839355,0.000000,61.9984,59.3150,19492.24,19552.08,216.65,0.095375
33,6759.727051,0.000000,67.5973,64.7978,18931.56,18988.00,216.65,0.104191
34,7341.469727,0.000000,73.4150,70.5061,18396.14,18449.43,216.65,0.113370
35,7942.926270,0.000014,79.4434,76.4292,17884.58,17934.94,216.65,0.122894
36,8564.624023,0.000055,85.7016,82.5725,17394.28,17441.91,216.65,0.132772
37,9208.305664,0.000131,92.2162,88.9589,16921.83,16966.91,216.65,0.143041
38,9873.560547,0.000279,99.0182,95.6172,16464.09,16506.76,216.65,0.153747
39,10558.881836,0.000548,106.1445,102.5813,16018.24,16058.63,216.65,0.164945
40,11262.484375,0.001000,113.6382,109.8913,15581.70,15619.91,216.65,0.176699
41,11982.662109,0.001701,121.5502,117.5942,15152.05,15188.19,216.65,0.189085
42,12713.897461,0.002765,129.9403,125.7453,14727.04,14761.17,216.65,0.202192
43,13453.225586,0.004267,138.8558,134.3981,14305.00,14337.21,216.65,0.216105
44,14192.009766,0.006322,148.3260,143.5909,13885.42,13915.75,216.65,0.230887
45,14922.685547,0.009035,158.3816,153.3538,13468.26,13496.80,216.65,0.246585
46,15638.053711,0.012508,169.0545,163.7180,13053.52,13080.33,216.65,0.263250
47,16329.560547,0.016860,180.3786,174.7166,12641.18,12666.32,216.65,0.280935
48,16990.623047,0.022189,192.3889,186.3837,12231.23,12254.76,216.65,0.299695
49,17613.281250,0.028610,205.1222,198.7556,11823.65,11845.64,216.65,0.319588
50,18191.029297,0.036227,218.6172,211.8697,11418.44,11438.95,216.65,0.340675
51,18716.968750,0.045146,232.9140,225.7656,11015.57,11034.66,216.65,0.363019
52,19184.544922,0.055474,248.0547,240.4844,10613.07,10630.79,219.17,0.382249
53,19587.513672,0.067316,264.0833,256.0690,10207.82,10224.21,221.80,0.402186
54,19919.796875,0.080777,281.0456,272.5644,9800.09,9815.19,224.45,0.423040
