n,a [Pa],b,ph [hPa],pf [hPa],Geopotential Altitude [m],Geometric Altitude [m],Temperature [K],Density [kg/m^3]
55,20175.394531,0.095964,298.9895,290.0175,9389.89,9403.75,227.12,0.444844
56,20348.916016,0.112979,317.9651,308.4773,8977.23,8989.90,229.80,0.467635
57,20434.158203,0.131935,338.0245,327.9948,8562.14,8573.66,232.50,0.491453
58,20426.218750,0.152934,359.2221,348.6233,8144.61,8155.04,235.21,0.516334
59,20319.011719,0.176091,381.6144,370.4182,7724.68,7734.06,237.94,0.542320
60,20107.031250,0.201520,405.2606,393.4375,7302.35,7310.73,240.68,0.569453
61,19785.357422,0.229315,430.2069,417.7337,6877.76,6885.19,243.44,0.597764
62,19348.775391,0.259554,456.4813,443.3441,6451.33,6457.87,246.22,0.627270
63,18798.822266,0.291993,483.8505,470.1659,6025.61,6031.31,248.98,0.657826
64,18141.296875,0.326329,512.0662,497.9584,5604.74,5609.68,251.72,0.689139
65,17385.595703,0.362203,540.8577,526.4620,5192.42,5196.66,254.40,0.720911
66,16544.585938,0.399205,569.9401,555.3989,4791.93,4795.53,257.00,0.752832
67,15633.566406,0.436906,599.0310,584.4855,4406.04,4409.09,259.51,0.784601
68,14665.645508,0.475016,627.9668,613.4989,4036.32,4038.88,261.91,0.815991
69,13653.219727,0.513280,656.6129,642.2899,3683.17,3685.30,264.21,0.846863
70,12608.383789,0.551458,684.8491,670.7310,3346.69,3348.45,266.40,0.877102
71,11543.166992,0.589317,712.5573,698.7032,3026.84,3028.28,268.48,0.906605
72,10471.310547,0.626559,739.5739,726.0656,2723.84,2725.01,270.45,0.935249
73,9405.222656,0.662934,765.7697,752.6718,2437.96,2438.89,272.30,0.962904
74,8356.252930,0.698224,791.0376,778.4036,2169.15,2169.89,274.05,0.989474
75,7335.164551,0.732224,815.2774,803.1575,1917.26,1917.84,275.69,1.014877
76,6353.920898,0.764679,838.3507,826.8141,1682.35,1682.80,277.21,1.039015
77,5422.802734,0.795385,860.1516,849.2512,1464.53,1464.87,278.63,1.061788
78,4550.215820,0.824185,880.6080,870.3798,1263.63,1263.88,279.94,1.083128
79,3743.464355,0.850950,899.6602,890.1341,1079.33,1079.52,281.13,1.102991
80,3010.146973,0.875518,917.2205,908.4403,911.48,911.61,282.23,1.121323
81,2356.202637,0.897767,933.2247,925.2226,759.99,760.08,283.21,1.138067
82,1784.854614,0.917651,947.6584,940.4415,624.53,624.59,284.09,1.153202
83,1297.656128,0.935157,960.5245,954.0914,504.53,504.57,284.87,1.166736
84,895.193542,0.950274,971.8169,966.1707,399.50,399.52,285.55,1.178683
85,576.314148,0.963007,981.5301,976.6735,309.03,309.04,286.14,1.189047
86,336.772369,0.973466,989.7322,985.6311,232.49,232.50,286.64,1.197870
87,162.043427,0.982238,996.8732,993.3027,167.39,167.39,287.06,1.205414
88,54.208336,0.989153,1002.8013,999.8373,112.26,112.26,287.42,1.211831
89,6.575628,0.994204,1007.4431,1005.1222,67.88,67.88,287.71,1.217015
90,0.003160,0.997630,1010.8487,1009.1459,34.22,34.22,287.93,1.220959
91,0.000000,1.000000,1013.2500,1012.0494,10.00,10.00,288.09,1.223803
